"questions","keys","datadic","value","valuelabels"
"7. You play games or do other fun things with your child","APQ_P_07","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"8. Your child talks you out of being punished after he/she has done something wrong","APQ_P_08","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"9. You ask your child about his/her day in school","APQ_P_09","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"10. Your child stays out in the evening past the time that he/she is supposed to be home","APQ_P_10","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"11. You help your child with his/her homework","APQ_P_11","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"12. You give up trying to get your child to obey you because it's too much trouble","APQ_P_12","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"13. You compliment your child when he/she has done something well","APQ_P_13","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"14. You ask your child what his/her plans are for the coming day","APQ_P_14","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"15. You drive your child to a special activity","APQ_P_15","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"16. You praise your child for behaving well","APQ_P_16","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"17. You do not know the friends your child is with","APQ_P_17","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"18. You hug or kiss your child when he/she has done something well","APQ_P_18","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"19. Your child goed out with a set time to be home","APQ_P_19","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"20. You talks to your child about his/her friends","APQ_P_20","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"21. Your child goes out after dark without an adult","APQ_P_21","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"22. You let your child out of a punishment early (like lift restrictions earlier than you originally said)","APQ_P_22","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"23. Your child helps plan family activities","APQ_P_23","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"24. You get so busy that you forget where your child is and what he/she is doing","APQ_P_24","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"25. Your child is not punished when he/she has done something wrong","APQ_P_25","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"26. you attend PTA meetings, parent/teacher conderences, or other meetings at your child's school","APQ_P_26","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"27. You tell your child that you like it when he/she helps out around the house","APQ_P_27","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"28. You don't check that your child comes home at the time he/she was supposed to","APQ_P_28","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"29. You don't tell your child where you are going","APQ_P_29","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"30. Your child comes home from school more than an hour past the time you expect him/her to be home","APQ_P_30","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"31. The punishment you give your child depends on your mood","APQ_P_31","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"32. Your child is at home without adult supervision","APQ_P_32","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"33. You spank your child with your hand when he/she has done something wrong","APQ_P_33","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"34. You ignore your child when he/she is misbehvaing","APQ_P_34","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"35. You slap your child when he/she has done something wrong","APQ_P_35","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"36. You take away privileges or money from your child as punishment","APQ_P_36","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"37. You send your child  to his/her room as punishment","APQ_P_37","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"38. You hit your child with a belt, switch, or other object when he/she has done something wrong","APQ_P_38","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"39. You yell or scream at your child when he/she has done something wrong","APQ_P_39","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"40. You calmly explain to your child why his/her behavior was wrong when he/she misbehaves","APQ_P_40","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"41. You use time out him/her sit or stand in a corner) as punishment","APQ_P_41","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"42. You give your child extra chores as punishment","APQ_P_42","APQ_P","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"Scores","","APQ_P","",""
"Involvement Score","APQ_P_INV","APQ_P","",""
"Positive Parenting Score","APQ_P_PP","APQ_P","",""
"Poor Monitoring/Supervision Score","APQ_P_PM","APQ_P","",""
"Inconsistent Discipline Score","APQ_P_ID","APQ_P","",""
"Corporal Punishment Score","APQ_P_CP","APQ_P","",""
"APQ Total Score","APQ_P_Total","APQ_P","",""
"Other Discipline Practices Score (Not factored into total score but provides item level information)","APQ_P_OPD","APQ_P","",""
"1. You have a friendly talk with your mom","APQ_SR_01","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"1A. How about your dad?","APQ_SR_01A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"2. Your parents tell you that you are doing a good job","APQ_SR_02","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"3. Your parents threaten to punish you and then not do it","APQ_SR_03","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"4. Your mom helps you with some of your special acivities (such as sports, boy/girl scouts, church youth groups)","APQ_SR_04","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"4A. How about your dad?","APQ_SR_04A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"5. Your parents reward or give something extra to you for behaving well","APQ_SR_05","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"6. You fail to leave a note or let your parents know where you are going","APQ_SR_06","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"7. You play games or do other fun things with your mom","APQ_SR_07","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"7A. How about your dad?","APQ_SR_07A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"8. You talk your parents out of punishing you after you have done something wrong","APQ_SR_08","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"9. Your mom asks you about your day in school","APQ_SR_09","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"9A. How about your dad?","APQ_SR_09A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"10. You stay out in the evening past the time you are supposed to be home","APQ_SR_10","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"11. Your mom helps you with your homework","APQ_SR_11","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"11A. How about your dad?","APQ_SR_11A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"12. Your parents give up trying to get you to obey them because it's too much trouble","APQ_SR_12","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"13. Your parents compliment you when you have done something well","APQ_SR_13","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"14. Your mom asks you what your plans are for the coming day","APQ_SR_14","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"14A. How about your dad?","APQ_SR_14A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"15. Your mom drives you to a special activity","APQ_SR_15","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"15A. How about your dad?","APQ_SR_15A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"16. Your parents praise you for behaving well","APQ_SR_16","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"17. Your parents do not know the friends you are with","APQ_SR_17","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"18. Your parents hug or kiss you when you have done something well","APQ_SR_18","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"19. You go out with a set time to be home","APQ_SR_19","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"20. Your mom talks to you about your friends","APQ_SR_20","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"20A. How about your dad?","APQ_SR_20A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"21. You go out after dark without an adult with you","APQ_SR_21","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"22. Your parents let you out of a punishment early (like lift restrictions earlier than they originally said)","APQ_SR_22","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"23. You help plan family activities","APQ_SR_23","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"24. Your parents get so busy that they forget where you are and what you are doing","APQ_SR_24","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"25. Your parents do not punish you when you have done something wrong","APQ_SR_25","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"26. Your mom goes to a meeting at school, like a PTA meeting, or a parent/teacher conference","APQ_SR_26","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"26A. How about your dad?","APQ_SR_26A","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"27. Your parents tell you that they like it when you help out around the house","APQ_SR_27","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"28. You stay out later than you are supposed to and your parents don't know it","APQ_SR_28","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"29. Your parents leave the house and don't tell you where they are going","APQ_SR_29","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"30. You come home from school more than an hour past the time your parents expect you to be home","APQ_SR_30","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"31. The punishment your parents give depends on their mood","APQ_SR_31","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"32. You are at home without an adult being with you","APQ_SR_32","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"33. Your parents spank you with their hand when you have done something wrong","APQ_SR_33","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"34. Your parents ignore you when you are misbehvaing ","APQ_SR_34","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"35. Your parents slap you when you have done something wrong","APQ_SR_35","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"36. Your parents take away a privilege or money from you as punishment","APQ_SR_36","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"37. Your parents send you to your room as punishment","APQ_SR_37","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"38. Your parents hit you with a belt, switch, or other object when you have done something wrong","APQ_SR_38","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"39. Your parents yell or scream at you when you have done something wrong","APQ_SR_39","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"40. Your parents calmly explain to you why your behavior was wrong when you misbehave","APQ_SR_40","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"41. Your parents use time out (make you sit or stand in a corner) as punishment","APQ_SR_41","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"42. Your parents give you extra chores as punishment","APQ_SR_42","APQ_SR","1-5","1=Never, 2=Almost Never, 3=Sometimes, 4=Often, 5=Always"
"Scores","","APQ_SR","",""
"Mother Involvement Score","APQ_SR_INV_D","APQ_SR","",""
"Father Involvement Score","APQ_SR_INV_M","APQ_SR","",""
"Positive Parenting Score","APQ_SR_PP","APQ_SR","",""
"Poor Monitoring/Supervision Score","APQ_SR_PM","APQ_SR","",""
"Inconsistent Discipline Score","APQ_SR_ID","APQ_SR","",""
"Corporal Punishment Score","APQ_SR_CP","APQ_SR","",""
"APQ Total Score","APQ_SR_OPD","APQ_SR","",""
"Other Discipline Practices Score (Not factored into total score but provides item level information)","APQ_SR_Total","APQ_SR","",""
"Is easily annoyed by others","ARI_P_01","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Often loses his/her temper","ARI_P_02","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Stays angry for a long time","ARI_P_03","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Is angry most of the time","ARI_P_04","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Gets angry frequently","ARI_P_05","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Loses temper easily","ARI_P_06","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Overall, irritability causes him/her problems","ARI_P_07","ARI_P","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Scores","","ARI_P","",""
"Total Score","ARI_P_Total_Score","ARI_P","",""
"I am easily annoyed by others","ARI_S_01","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"I often lose my temper","ARI_S_02","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"I stay angry for a long time","ARI_S_03","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"I am angry most of the time","ARI_S_04","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"I get angry frequently","ARI_S_05","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"I lose my temper easily","ARI_S_06","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Overall, irritability causes me problems","ARI_S_07","ARI_S","0-2","0=Not True, 1=Somewhat True, 2=Certainly True"
"Total Score","ARI_S_Total_Score","ARI_S","",""
"1. I am too forgetful","ASR_01","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"2. I make good  use of my opportunities","ASR_02","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"3. I argue a lot","ASR_03","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"4. I work up to my ability","ASR_04","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"5. I blame others for my problems","ASR_05","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"6. I use drugs (other than alcohol and nicotine) for nonmedical purposes (describe):","ASR_06","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"7. I brag","ASR_07","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"8. I have trouble concentrating or paying attention for long","ASR_08","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"9. I can't get my mind off certain thoughts (describe):","ASR_09","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"10. I have trouble sitting still","ASR_10","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"11. I am too dependent on others","ASR_11","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"12. I feel lonely","ASR_12","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"13. I feel confused or in a fog ","ASR_13","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"14. I cry a lot","ASR_14","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"15. I am pretty honest","ASR_15","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"16. I am mean to others","ASR_16","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"17. I daydream a lot","ASR_17","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"18. I deliberately try to hurt or kill myself","ASR_18","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"19. I try to get a lot of attention","ASR_19","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"20. I damage or destroy my things ","ASR_20","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"21. I damage or destroy things belonging to others","ASR_21","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"22. I worry about my future","ASR_22","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"23. I break rules at work or elsewhere","ASR_23","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"24. I don't eat as well as I should","ASR_24","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"25. I don't get along with other people","ASR_25","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"26. I don't feel guilty after doing something I shouldn't","ASR_26","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"27. I am jealous of others","ASR_27","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"28. I get along badly with my family","ASR_28","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"29. I am afraid of certain animals, situations, or places (describe):","ASR_29","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"30. My relations with the opposite sex are poor","ASR_30","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"31. I am afraid I might think or do something bad","ASR_31","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"32. I feel that I have to be perfect","ASR_32","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"33. I feel that no one loves me","ASR_33","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"34. I feel that others are out to get me","ASR_34","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"35. I feel worthless or inferior","ASR_35","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"36. I accidentally get hurt a lot, accident-prone","ASR_36","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"37. I get in many fights","ASR_37","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"38. My relations with neighbors are poor","ASR_38","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"39. I hang around people who get in trouble","ASR_39","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"40. I hear sounds or voices that other people think aren't there (describe):","ASR_40","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"41. I am impulsive or act without thinking","ASR_41","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"42. I would rather be alone than with others","ASR_42","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"43. I lie or cheat","ASR_43","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"44. I feel overwhelmed by my responsibilities","ASR_44","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"45. I am nervous or tense","ASR_45","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"46. Parts of my body twitch or make nervous movements","ASR_46","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"47. I lack self-confidence","ASR_47","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"48. I am not liked by others","ASR_48","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"49. I can do certain things better than other people","ASR_49","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"50. I am too fearful or anxious","ASR_50","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"51. I feel dizzy or lightheaded","ASR_51","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"52. I feel too guilty","ASR_52","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"53. I have trouble planning for the future","ASR_53","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"54. I feel tired without good reason","ASR_54","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"55. My moods swing between elation and depression","ASR_55","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"56a. Physical problems without known medical cause: aches or pains (not stomach or headaches)","ASR_56a","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"56b. Physical problems without known medical cause: Headaches","ASR_56b","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
"56c. Physical problems without known medical cause: Nausea, feel sick","ASR_56c","ASR","0-2","0= Not True, 1=Somewhat or Sometimes True, 2=Very True or Often True"
